Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,19.025625387430264,3.5237907176708196,18.767271891059607,19.268481673298805,5.211811873862706,2.838114139454898,1.6011617908776419,1.287018336699394,1.2512497750404925,0.8274510588094142,26.39802335579596
2,17.830911677706016,3.502886733527866,17.854865690003074,17.796280877046907,5.11438165892787,2.7994689110425997,1.564937126968767,1.2396576426551449,1.2567355031967853,0.8176869625662299,30.222187216358737
3,14.279285694653703,3.2585496513176473,14.069151793634017,13.981750083079097,4.755897366704896,2.6111823217672234,1.498721956119244,1.181397278003903,1.1866943513708677,0.775596482943174,42.401773020406225
4,13.929811048983225,3.2711081992137885,14.063722204995349,14.134941434187231,4.757809608594322,2.6070789113060524,1.489302111570124,1.194022386044232,1.1752173086733415,0.7754843807828113,42.60150240564952
5,14.131419334821297,3.272422007146217,14.184240289051477,14.028254581485891,4.748230960936015,2.58339755587361,1.4924234083652776,1.1728703972456036,1.1776245333440094,0.770545374475794,42.43857155725482
6,13.464046243930232,3.216632220303444,13.669774753273236,13.654355111598719,3.7672408837928812,2.5748052551738274,1.4742626937139343,1.1541239419301792,1.159447092135483,0.7589862522773336,45.106325551870725
7,13.301957878451821,2.827596047694029,12.415668034336097,12.482557833891999,2.7827358228421653,2.49314704991451,1.4287681212027148,1.125285696046943,1.1275387207325835,0.7362884672673063,49.27845632761982
8,11.97392774604064,2.155488079397317,12.506002821326025,12.748967014496815,2.7154012385821336,2.4660840595079687,1.4179914559843128,1.1130731443778576,1.1021430072133902,0.7320190489530078,51.068902384120534
9,5.94074500649585,6.931501667874505,6.02486132885035,5.5929700853538264,4.785556333029839,2.721350369940999,1.4480942794566143,1.0126502058933486,1.0369694252072574,0.6958999028482257,63.80940139504919
10,0.7795489403170001,18.405732091590515,1.184614357480367,0.9735543224500024,10.228240692142396,4.647734107981129,2.4024044788659307,1.5337422373919851,1.5329421760192292,1.034038343226301,57.277448252535144
