Times,Lattice,Diktyo,TanGo,Delay-first
1,81.7667069927413,90.9083364994301,91.73591253574357,73.60197664420404
2,83.05103604853814,91.23380666261599,92.18713545909684,69.77781278364127
3,83.07397662791308,91.19741342908044,90.32014811816472,57.598226979593775
4,82.2809658607824,90.58765866784032,82.01481418945784,57.39849759435047
5,73.85207630638655,72.50510444086355,66.01308138080131,57.56142844274518
6,47.571666055082375,77.57271848032808,74.26728134244013,54.893674448129275
7,60.07799111650513,78.38417034642302,67.40678546001905,50.72154367238018
8,81.07530988830396,83.93702540193891,79.22158040702615,48.931097615879466
9,79.57105553856618,76.52730657219203,77.10800740425758,36.19059860495081
10,75.54258651373534,57.01456225714986,76.66144483347877,42.72255174746486
