Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,23.216221080205564,0.1489231938251115,25.96585114679358,25.263002659521288,4.464471395148873,0.8912645723769721,0.7757103721330162,0.6660051190785656,0.24163150632886082,0.1336259473294807,18.23329300725869
2,27.673060237589794,0.08338896765208173,24.714189626762483,23.535417182378048,4.3941110135947765,0.8858733837917852,0.7494255287760698,0.6454331100459327,0.23773982142008787,0.1323971765270683,16.94896395146187
3,23.722393377658843,0.07790695640658535,24.340951624227614,27.885118472044194,4.401393230240291,0.8693197008652719,0.766001784014332,0.6378226030118359,0.23427056551255432,0.1387983139315528,16.926023372086924
4,27.015719244195935,0.08709851659948185,25.809118461984742,22.282266211877207,4.423819431246437,0.875861482600302,0.75775459374031,0.6494503515949306,0.2422904184129715,0.13758714853010315,17.71903413921759
5,18.618473071572264,3.4490756958553943,21.48441644230481,22.995456046760683,4.821119373855254,0.7929148359072393,0.6687568184320358,0.5662676528579865,0.20510343999279373,0.2504929288480978,26.147923693613443
6,4.355452390311774,31.07950318287244,2.2835306677163714,2.7632936654136544,5.3459141618568955,0.33194611388433715,0.44138395113648327,0.3629533852081288,0.10527258478942059,0.5024159518928774,52.42833394491762
7,0.20983201039603339,50.6634632279661,0.34481324222627274,0.12614452363501588,6.282418656455314,0.5606034418748231,0.6439153594710494,0.48727987017181,0.1535563604503867,0.6059644238583405,39.922008883494854
8,0.04527135357267668,25.953828637772148,0.0335408359773659,0.02376119227213355,51.717578305654705,1.107346294912843,0.9307883166649875,0.7533798043516502,0.30091669922745873,0.2088984478980133,18.924690111696023
9,0.011283916671053813,11.852667082687308,0.0045285798298501205,0.004678697922746946,33.89010743601848,23.495092181499885,8.333583793341989,0.8589787903380639,0.9267322339313131,0.19340282632548558,20.428944461433815
10,0.00265251277368492,0.39691771795791986,0.0002751700436424972,0.00027518631960370035,5.165517440081197,7.3461697173817315,22.10564172354216,17.78203334920527,21.091893985767996,1.6512097106621355,24.457413486264663
