Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,23.909096362654722,0.12847687416265072,25.396403647343476,25.40870143374193,4.438326101301765,0.8755174068667639,0.774885520606291,0.6617808794417004,0.23905696974544582,0.13622547941370552,18.031529324721554
2,25.72038316418,0.08796473409296057,24.990760952459535,25.249654317098113,4.393360887948731,0.8816476759857276,0.7470251267087236,0.6472084074082409,0.23788984654929698,0.13449752833599624,16.90960735923267
3,25.382751030055893,0.09684649231299707,25.160998548302064,25.090737367604397,4.408989033558958,0.880388585306618,0.7664015631363671,0.6405960706709543,0.23604458536658496,0.13100262105186883,17.205244102633294
4,25.253018314945034,0.09297510327788502,23.95306732817861,24.408615326138055,4.400238064277355,0.8372760645374253,0.7611054984845909,0.6462244806097647,0.23411321056685302,0.15669230692286917,19.256674302061562
5,22.90107393432286,0.11114669762693544,22.8359422697747,22.767132405192516,4.054277221182428,0.8146337313462713,0.7164232882607869,0.6020487824407235,0.22226837348493186,0.17034820293655478,24.804705093431284
6,1.5409145322000604,38.3206085885155,2.3149205651036264,1.8874191218551555,6.1397914224806875,0.3666475899624881,0.5201942325042048,0.42730151272432837,0.1296299535911271,0.6095381854805455,47.74303429558229
7,0.11205042769918616,50.744524524173706,0.2807268758308029,0.05963005334661784,6.297779769340339,0.5135644602879366,0.634351617045884,0.4876046091878347,0.1500264104560372,0.6729784736008092,40.04676277903085
8,0.018758816643822597,33.37683711344332,0.025812131701899894,0.016957970246015627,20.833166588296496,0.7983002010945144,0.6998289195922084,0.5127660000200094,0.18973917741338425,0.32887957339949775,43.19895350814883
9,0.00773111176911883,1.979064256393088,0.009182256296808588,0.0025269970782866935,65.88789371572958,5.818121621072353,1.140426210485754,0.7875473587565195,0.3911841253427536,0.0593218758535949,23.91700047122214
10,0.0030504728232876098,0.05255814651270947,0.0015502402872445231,0.0009251433972265702,4.057178862723722,24.905710385109693,27.503888102655914,4.452090073961465,6.806429996649482,0.3430281693662518,31.87359040651301
