Times,Lattice,Lattice-woC,Lattice-woP&C,Lattice-woP
1,81.7667069927413,82.02828490871643,81.96847067527845,81.88148633246017
2,83.05103604853814,82.86440478780196,83.09039264076732,83.02188116509515
3,83.07397662791308,82.53992169326447,82.7947558973667,82.9846759665285
4,82.2809658607824,81.19067148129994,80.74332569793845,80.81059386034228
5,73.85207630638655,73.73890284547556,75.19529490656872,68.97841207730164
6,47.571666055082375,56.45507062720837,52.25696570441771,43.434706439512276
7,60.07799111650513,65.41884980586437,59.953237220969164,51.50664014346296
8,81.07530988830396,83.20505637649696,56.801046491851174,52.21604506132171
9,79.57105553856618,87.94097336896148,76.08299952877788,62.54583621060639
10,75.54258651373534,79.05972925803499,68.12640959348698,65.21233026121925
